Headline,URL
White House says it's halting funds to US university over transgender athletesThe University of Pennsylvania says it has not been told of the plan to block $175m in federal funding.14 hrs agoUS & Canada,https://www.bbc.com/news/articles/c8712p5y48do
"French Holocaust denier who fled to Scotland jailedVincent Reynouard was arrested in Fife in November 2022 and extradited last year.5 hrs agoEdinburgh, Fife & East",https://www.bbc.com/news/articles/cd65exzqyn3o
White House says it's halting funds to US university over transgender athletesThe University of Pennsylvania says it has not been told of the plan to block $175m in federal funding.14 hrs agoUS & Canada,https://www.bbc.com/news/articles/c8712p5y48do
William visits UK troops in Estonia on Russia borderThe Prince of Wales is showing support for UK troops in a Nato operation to defend the Baltic states.23 mins agoEurope,https://www.bbc.com/news/articles/cn48p2xy28zo
Greenpeace ordered to pay more than $660m for defaming oil firm in protestsGreenpeace has warned it could be forced into bankruptcy because of the case brought by Energy Transfer.16 hrs agoUS & Canada,https://www.bbc.com/news/articles/c87121e0j4yo
"1China executed four Canadians for drug crimes, says Ottawa",https://www.bbc.com/news/articles/c204ywyl4kvo
2Tesla's challenges run deeper than 'toxic' controversy around Elon Musk,https://www.bbc.com/news/articles/cz61vwjel2zo
3Trump to order dismantling of US education department,https://www.bbc.com/news/articles/c07zpmzxln1o
4Four key takeaways from release of JFK files,https://www.bbc.com/news/articles/cly676jp291o
5Finland named as happiest country for eighth year,https://www.bbc.com/news/articles/cr72xep44kdo
"6Reassurance, not peacekeeping: What Ukraine coalition force will and won't do",https://www.bbc.com/news/articles/ckgz8jlxlk3o
7Greenpeace ordered to pay more than $660m for defaming oil firm in protests,https://www.bbc.com/news/articles/c87121e0j4yo
8Hollywood director charged with defrauding $11m from Netflix,https://www.bbc.com/news/articles/cy0545w7xw1o
9Dark Energy experiment challenges Einstein's theory of Universe,https://www.bbc.com/news/articles/c4geldjjge0o
10What does the US education department do - and can Trump dismantle it?,https://www.bbc.com/news/articles/c79zxzj90nno
News,https://www.bbc.com/news
